param N := 14;
param c : 
   1  2 3 4 5 6 7 8 9 10 11  12  13  14:=
1  0 10 4 5 7 4 1 1 1  1  1   1   3  12
2  2  0 4 6 8 4 1 1 7  1  3 100   3   2
3  7  4 0 4 3 8 1 3 1  1 13   2   5   2
4  8  4 7 0 9 5 1 1 4  1  1   3   8   4
5  5  7 6 8 0 6 1 1 4  1  1   1   3  64
6  2  3 7 9 8 0 1 1 9  1  3   1   2   5
7  1  1 1 1 1 1 0 1 1  1  1   1  11  34
8  1  1 3 1 2 1 1 0 1  1  1   8  45  23
9  1  1 2 1 6 4 2 1 0  1  3   1  53   2 
10 1  1 1 2 1 1 1 1 1  0  1   1   2  12
11 1  1 2 1 1 7 1 8 1  2  0   8   1   4 
12 1  9 1 2 1 1 2 1 1  2  1   0  12   5
13 3  4 7 2 1 9 4 3 7  4 34  16   0   3
14 3  1 4 4 3 1 7 9 6  5  5   7   3   0 

; 



